9696FF
A0A0FF
AAAAFF
B4B4FF
BEBEFF
C8C8FF
D2D2FF
DCDCFF
E6E6FF
F0F0FF
8080F0
8A8AF0
9494F0
9E9EF5
A8A8FA
B2B2FA
B7B7FA
BCBCFA
C1C1FA
C6C6FA
6E6EF5
7878F5
8282F5
8C8CF5
9696F5
A0A0F5
AAAAF5
B4B4FA
BEBEFA
C8C8FA
6464F0
6E6EF0
7878F0
8282F0
8C8CF0
9696F0
A0A0F4
AAAAF4
B4B4F4
BEBEFE
----------color RGB code(Red)----------
(150, 150, 255)
(160, 160, 255)
(170, 170, 255)
(180, 180, 255)
(190, 190, 255)
(200, 200, 255)
(210, 210, 255)
(220, 220, 255)
(230, 230, 255)
(240, 240, 255)
(128, 128, 240)
(138, 138, 240)
(148, 148, 240)
(158, 158, 245)
(168, 168, 250)
(178, 178, 250)
(183, 183, 250)
(188, 188, 250)
(193, 193, 250)
(198, 198, 250)
(110, 110, 245)
(120, 120, 245)
(130, 130, 245)
(140, 140, 245)
(150, 150, 245)
(160, 160, 245)
(170, 170, 245)
(180, 180, 250)
(190, 190, 250)
(200, 200, 250)
(100, 100, 240)
(110, 110, 240)
(120, 120, 240)
(130, 130, 240)
(140, 140, 240)
(150, 150, 240)
(160, 160, 244)
(170, 170, 244)
(180, 180, 244)
(190, 190, 254)
